what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1393816814701
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1393816814701
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1393816814702
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1393816814714
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1393816814715
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1393816814731
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1393816814739
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1393816814739
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1393816814761
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1393816814771
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1393816814783
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1393816814792
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1393816814792
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1393816814803
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1393816814823
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1393816814823
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1393816814823
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1393816814824
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1393816814835
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1393816814849
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1393816814849
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1393816814854
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1393816814855
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1393816814855
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1393816814863
started,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1393816814872
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1393816814877
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1393816814889
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1393816814900
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1393816814912
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1393816814913
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1393816814913
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1393816814913
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1393816814924
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1393816814936
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1393816814946
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1393816814956
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1393816814962
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1393816814962
os,sysinfo,,,"linux",1393816814964
arch,sysinfo,,,"x86_64",1393816814964
ws,sysinfo,,,"gtk",1393816814964
locale,sysinfo,,,"en_CA",1393816814964
processors,sysinfo,,,"4",1393816814964
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1393816814964
java.runtime.version,sysinfo,,,"1.7.0_51-b00",1393816814964
java.specification.name,sysinfo,,,"Java Platform API Specification",1393816814964
java.specification.vendor,sysinfo,,,"Oracle Corporation",1393816814964
java.specification.version,sysinfo,,,"1.7",1393816814964
java.vendor,sysinfo,,,"Oracle Corporation",1393816814964
java.version,sysinfo,,,"1.7.0_51",1393816814964
java.vm.info,sysinfo,,,"mixed mode",1393816814964
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1393816814964
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1393816814964
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1393816814964
java.vm.specification.version,sysinfo,,,"1.7",1393816814964
java.vm.vendor,sysinfo,,,"Oracle Corporation",1393816814964
java.vm.version,sysinfo,,,"24.45-b08",1393816814964
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1393816815102
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1393816815132
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393816818918
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1393816829373
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1393816829862
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1393816830059
opened,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1393816830151
